1	0	0	0	78139	45.695	
2	22	22	59	2331	1.363	
3	20	21	21	4329	2.532	
4	179	168	168	1678	0.981	
5	209	199	200	2152	1.258	
6	91	92	96	1858	1.087	
7	135	132	135	1787	1.045	
8	247	241	1	2729	1.596	
9	252	160	2	1690	0.988	
10	232	230	223	4111	2.404	
11	51	66	66	2718	1.589	
12	167	1	252	1531	0.895	
13	252	80	2	1534	0.897	
14	247	247	250	4854	2.839	
15	237	238	238	25255	14.769	
16	252	1	86	1659	0.970	
17	252	1	174	1641	0.960	
18	239	0	246	2933	1.715	
19	250	14	11	3091	1.808	
20	156	35	27	1926	1.126	
21	16	253	9	3328	1.946	
22	1	241	244	3204	1.874	
23	105	252	1	1897	1.109	
24	1	157	252	1679	0.982	
25	1	74	252	1606	0.939	
26	16	6	251	3444	2.014	
27	1	252	80	1907	1.115	
28	1	252	167	2064	1.207	
29	11	5	164	601	0.351	
30	187	253	2	1661	0.971	
31	96	0	252	1663	0.973	
