"Pünktlichkeit (Einzelmessungen)"

"Parameter:"
"Wettbewerbsnetz: agilis-Mitte (agM), "
"Datum von: 22.02.2016"
"Datum von: 28.02.2016"

"DS100";"Messstelle";"Datum";"Zug";"Soll Ank";"Ist Ank";"Delta";"Soll Abf";"Ist Abf";"Delta";"Ist GI";"Status Ank";"Status Abf";"Von  Bhf";"Nach Bhf"
"NST";"Straubing";"24.02.2016";"79370";"";"";"";"16:53:30";"16:53:41";"00:00:11";"Gl. 002";"Gl. 002";"";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NRA";"Radldorf (Nbay)";"24.02.2016";"79370";"16:59:24";"16:59:20";"-00:00:04";"16:59:54";"16:59:36";"-00:00:18";"Gl. 011";"Gl. 011";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NOT";"Obertraubling";"24.02.2016";"79370";"17:14:12";"17:12:56";"-00:01:16";"17:14:42";"17:14:24";"-00:00:18";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NRH";"Regensburg Hbf";"24.02.2016";"79370";"17:23:24";"17:24:59";"00:01:35";"17:28:12";"17:28:50";"00:00:38";"Gl. 004";"Gl. 004";"Leicht verspätet (00:01:00 bis 00:05:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"MIH";"Ingolstadt Hbf";"24.02.2016";"79370";"18:35:00";"18:36:23";"00:01:23";"18:41:24";"18:46:01";"00:04:37";"Gl. 005";"Gl. 005";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"NST";"MDT";
"NST";"Straubing";"25.02.2016";"79370";"";"";"";"16:53:30";"16:54:01";"00:00:31";"Gl. 002";"Gl. 002";"";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NRA";"Radldorf (Nbay)";"25.02.2016";"79370";"16:59:24";"16:59:36";"00:00:12";"16:59:54";"17:00:00";"00:00:06";"Gl. 011";"Gl. 011";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NOT";"Obertraubling";"25.02.2016";"79370";"17:14:12";"17:13:43";"-00:00:29";"17:14:42";"17:14:31";"-00:00:11";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NRH";"Regensburg Hbf";"25.02.2016";"79370";"17:23:24";"17:25:03";"00:01:39";"17:28:12";"17:28:50";"00:00:38";"Gl. 004";"Gl. 004";"Leicht verspätet (00:01:00 bis 00:05:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"MIH";"Ingolstadt Hbf";"25.02.2016";"79370";"18:35:00";"18:51:10";"00:16:10";"18:41:24";"19:02:42";"00:21:18";"Gl. 005";"Gl. 000";"Verspätet (ab 00:06:00)";"Verspätet (ab 00:06:00)";"NST";"MDT";
"NST";"Straubing";"26.02.2016";"79370";"";"";"";"16:53:30";"16:53:47";"00:00:17";"Gl. 002";"Gl. 002";"";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NRA";"Radldorf (Nbay)";"26.02.2016";"79370";"16:59:24";"16:59:19";"-00:00:05";"16:59:54";"16:59:33";"-00:00:21";"Gl. 011";"Gl. 011";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NOT";"Obertraubling";"26.02.2016";"79370";"17:14:12";"17:12:53";"-00:01:19";"17:14:42";"17:14:28";"-00:00:14";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NST";"MDT";
"NRH";"Regensburg Hbf";"26.02.2016";"79370";"17:23:24";"17:26:33";"00:03:09";"17:28:12";"17:30:58";"00:02:46";"Gl. 004";"Gl. 004";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"NST";"MDT";
"MIH";"Ingolstadt Hbf";"26.02.2016";"79370";"18:35:00";"18:37:29";"00:02:29";"18:41:24";"18:43:00";"00:01:36";"Gl. 005";"Gl. 005";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"NST";"MDT";
"MDT";"Donauwörth";"23.02.2016";"79370";"19:20:00";"19:20:15";"00:00:15";"";"";"";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"";"NST";"MDT";
"MDT";"Donauwörth";"25.02.2016";"79370";"19:20:00";"19:39:31";"00:19:31";"";"";"";"Gl. 070";"Gl. 070";"Verspätet (ab 00:06:00)";"";"NST";"MDT";
"MDT";"Donauwörth";"24.02.2016";"79370";"19:20:00";"19:22:37";"00:02:37";"";"";"";"Gl. 070";"Gl. 070";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"NST";"MDT";
"MDT";"Donauwörth";"26.02.2016";"79370";"19:20:00";"19:19:50";"-00:00:10";"";"";"";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"";"NST";"MDT";
"MDT";"Donauwörth";"22.02.2016";"79370";"19:20:00";"19:21:37";"00:01:37";"";"";"";"Gl. 070";"Gl. 070";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"NST";"MDT";
"MGZB";"Günzburg";"22.02.2016";"79373";"";"";"";"12:51:30";"12:52:40";"00:01:10";"Gl. 005";"Gl. 005";"";"Leicht verspätet (00:01:00 bis 00:05:59)";"MGZB";"MIH";
"MDT";"Donauwörth";"22.02.2016";"79373";"13:28:48";"13:33:25";"00:04:37";"13:29:36";"13:34:45";"00:05:09";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"MIH";
"MGZB";"Günzburg";"23.02.2016";"79373";"";"";"";"12:51:30";"12:51:31";"00:00:01";"Gl. 005";"Gl. 005";"";"Plan (-00:00:59 bis 00:00:59)";"MGZB";"MIH";
"MDT";"Donauwörth";"23.02.2016";"79373";"13:28:48";"13:30:38";"00:01:50";"13:29:36";"13:31:50";"00:02:14";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"MIH";
"MGZB";"Günzburg";"24.02.2016";"79373";"";"";"";"12:51:30";"12:52:01";"00:00:31";"Gl. 005";"Gl. 005";"";"Plan (-00:00:59 bis 00:00:59)";"MGZB";"MIH";
"MDT";"Donauwörth";"24.02.2016";"79373";"13:28:48";"13:31:38";"00:02:50";"13:29:36";"13:32:41";"00:03:05";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"MIH";
"MGZB";"Günzburg";"25.02.2016";"79373";"";"";"";"12:51:30";"12:51:34";"00:00:04";"Gl. 005";"Gl. 005";"";"Plan (-00:00:59 bis 00:00:59)";"MGZB";"MIH";
"MDT";"Donauwörth";"25.02.2016";"79373";"13:28:48";"13:29:54";"00:01:06";"13:29:36";"13:30:36";"00:01:00";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"MIH";
"MGZB";"Günzburg";"26.02.2016";"79373";"";"";"";"12:51:30";"12:51:49";"00:00:19";"Gl. 005";"Gl. 005";"";"Plan (-00:00:59 bis 00:00:59)";"MGZB";"MIH";
"MDT";"Donauwörth";"26.02.2016";"79373";"13:28:48";"13:30:49";"00:02:01";"13:29:36";"13:32:07";"00:02:31";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"MIH";
"MIH";"Ingolstadt Hbf";"22.02.2016";"79373";"14:25:36";"14:25:02";"-00:00:34";"";"";"";"Gl. 006";"Gl. 006";"Plan (bis 00:00:59)";"";"MNFG";"MIH";
"MIH";"Ingolstadt Hbf";"24.02.2016";"79373";"14:25:36";"14:26:38";"00:01:02";"";"";"";"Gl. 006";"Gl. 006";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MNFG";"MIH";
"MIH";"Ingolstadt Hbf";"25.02.2016";"79373";"14:25:36";"14:31:08";"00:05:32";"";"";"";"Gl. 006";"Gl. 006";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MNFG";"MIH";
"MIH";"Ingolstadt Hbf";"23.02.2016";"79373";"14:25:36";"14:25:05";"-00:00:31";"";"";"";"Gl. 006";"Gl. 006";"Plan (bis 00:00:59)";"";"MNFG";"MIH";
"MIH";"Ingolstadt Hbf";"26.02.2016";"79373";"14:25:36";"14:26:07";"00:00:31";"";"";"";"Gl. 006";"Gl. 006";"Plan (bis 00:00:59)";"";"MNFG";"MIH";
"MIH";"Ingolstadt Hbf";"22.02.2016";"79374";"";"";"";"13:23:12";"13:23:51";"00:00:39";"Gl. 007";"Gl. 007";"";"Plan (-00:00:59 bis 00:00:59)";"MIH";"MDT";
"MIH";"Ingolstadt Hbf";"23.02.2016";"79374";"";"";"";"13:23:12";"13:24:05";"00:00:53";"Gl. 007";"Gl. 007";"";"Plan (-00:00:59 bis 00:00:59)";"MIH";"MDT";
"MIH";"Ingolstadt Hbf";"24.02.2016";"79374";"";"";"";"13:23:12";"13:23:56";"00:00:44";"Gl. 007";"Gl. 007";"";"Plan (-00:00:59 bis 00:00:59)";"MIH";"MDT";
"MIH";"Ingolstadt Hbf";"25.02.2016";"79374";"";"";"";"13:23:12";"13:23:37";"00:00:25";"Gl. 007";"Gl. 007";"";"Plan (-00:00:59 bis 00:00:59)";"MIH";"MDT";
"MIH";"Ingolstadt Hbf";"26.02.2016";"79374";"";"";"";"13:23:12";"13:23:46";"00:00:34";"Gl. 007";"Gl. 007";"";"Plan (-00:00:59 bis 00:00:59)";"MIH";"MDT";
"MDT";"Donauwörth";"22.02.2016";"79374";"14:13:30";"14:13:53";"00:00:23";"";"";"";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"";"MIH";"MDT";
"MDT";"Donauwörth";"26.02.2016";"79374";"14:13:30";"14:11:40";"-00:01:50";"";"";"";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"";"MIH";"MDT";
"MDT";"Donauwörth";"23.02.2016";"79374";"14:13:30";"14:14:49";"00:01:19";"";"";"";"Gl. 070";"Gl. 070";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MIH";"MDT";
"MDT";"Donauwörth";"24.02.2016";"79374";"14:13:30";"14:11:26";"-00:02:04";"";"";"";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"";"MIH";"MDT";
"MDT";"Donauwörth";"25.02.2016";"79374";"14:13:30";"14:14:56";"00:01:26";"";"";"";"Gl. 070";"Gl. 070";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MIH";"MDT";
"TU";"Ulm Hbf";"22.02.2016";"79375";"";"";"";"18:31:54";"18:31:32";"-00:00:22";"Gl. 027";"Gl. 028";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MNM";"Neu-Ulm";"22.02.2016";"79375";"18:34:36";"18:34:36";"00:00:00";"18:35:18";"18:35:27";"00:00:09";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MGZB";"Günzburg";"22.02.2016";"79375";"18:50:24";"18:54:59";"00:04:35";"18:51:24";"18:55:47";"00:04:23";"Gl. 002";"Gl. 002";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"TU";"NRH";
"MDT";"Donauwörth";"22.02.2016";"79375";"19:32:36";"19:35:49";"00:03:13";"19:40:12";"19:42:20";"00:02:08";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"MIH";"Ingolstadt Hbf";"22.02.2016";"79375";"20:22:24";"20:22:34";"00:00:10";"20:30:18";"20:31:56";"00:01:38";"Gl. 007";"Gl. 007";"Plan (bis 00:00:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"TU";"Ulm Hbf";"23.02.2016";"79375";"";"";"";"18:31:54";"18:31:47";"-00:00:07";"Gl. 027";"Gl. 027";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MNM";"Neu-Ulm";"23.02.2016";"79375";"18:34:36";"18:34:33";"-00:00:03";"18:35:18";"18:35:38";"00:00:20";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MGZB";"Günzburg";"23.02.2016";"79375";"18:50:24";"18:50:06";"-00:00:18";"18:51:24";"18:51:32";"00:00:08";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MDT";"Donauwörth";"23.02.2016";"79375";"19:32:36";"19:36:33";"00:03:57";"19:40:12";"19:43:20";"00:03:08";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"MIH";"Ingolstadt Hbf";"23.02.2016";"79375";"20:22:24";"20:22:05";"-00:00:19";"20:30:18";"20:32:29";"00:02:11";"Gl. 007";"Gl. 007";"Plan (bis 00:00:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"TU";"Ulm Hbf";"24.02.2016";"79375";"";"";"";"18:31:54";"18:32:09";"00:00:15";"Gl. 027";"Gl. 027";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MNM";"Neu-Ulm";"24.02.2016";"79375";"18:34:36";"18:34:57";"00:00:21";"18:35:18";"18:35:40";"00:00:22";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MGZB";"Günzburg";"24.02.2016";"79375";"18:50:24";"18:50:51";"00:00:27";"18:51:24";"18:51:31";"00:00:07";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MDT";"Donauwörth";"24.02.2016";"79375";"19:32:36";"19:33:14";"00:00:38";"19:40:12";"19:40:53";"00:00:41";"Gl. 040";"Gl. 040";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"NRH";
"MIH";"Ingolstadt Hbf";"24.02.2016";"79375";"20:22:24";"20:22:26";"00:00:02";"20:30:18";"20:31:08";"00:00:50";"Gl. 007";"Gl. 007";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"NRH";
"TU";"Ulm Hbf";"25.02.2016";"79375";"";"";"";"18:31:54";"18:31:59";"00:00:05";"Gl. 027";"Gl. 027";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MNM";"Neu-Ulm";"25.02.2016";"79375";"18:34:36";"18:35:15";"00:00:39";"18:35:18";"18:36:00";"00:00:42";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MGZB";"Günzburg";"25.02.2016";"79375";"18:50:24";"18:50:24";"00:00:00";"18:51:24";"18:51:33";"00:00:09";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MDT";"Donauwörth";"25.02.2016";"79375";"19:32:36";"19:37:25";"00:04:49";"19:40:12";"19:43:54";"00:03:42";"Gl. 040";"Gl. 040";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"MIH";"Ingolstadt Hbf";"25.02.2016";"79375";"20:22:24";"20:23:35";"00:01:11";"20:30:18";"20:33:03";"00:02:45";"Gl. 007";"Gl. 007";"Leicht verspätet (00:01:00 bis 00:05:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"TU";"Ulm Hbf";"26.02.2016";"79375";"";"";"";"18:31:54";"18:31:46";"-00:00:08";"Gl. 027";"Gl. 027";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MNM";"Neu-Ulm";"26.02.2016";"79375";"18:34:36";"18:34:27";"-00:00:09";"18:35:18";"18:35:38";"00:00:20";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MGZB";"Günzburg";"26.02.2016";"79375";"18:50:24";"18:50:30";"00:00:06";"18:51:24";"18:51:36";"00:00:12";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"NRH";
"MDT";"Donauwörth";"26.02.2016";"79375";"19:32:36";"19:33:16";"00:00:40";"19:40:12";"19:42:28";"00:02:16";"Gl. 040";"Gl. 040";"Plan (bis 00:00:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"MIH";"Ingolstadt Hbf";"26.02.2016";"79375";"20:22:24";"20:21:55";"-00:00:29";"20:30:18";"20:31:26";"00:01:08";"Gl. 007";"Gl. 007";"Plan (bis 00:00:59)";"Leicht verspätet (00:01:00 bis 00:05:59)";"MNFG";"NRH";
"NRH";"Regensburg Hbf";"23.02.2016";"79375";"21:29:12";"21:29:11";"-00:00:01";"";"";"";"Gl. 008";"Gl. 008";"Plan (bis 00:00:59)";"";"MNFG";"NRH";
"NRH";"Regensburg Hbf";"26.02.2016";"79375";"21:29:12";"21:33:35";"00:04:23";"";"";"";"Gl. 008";"Gl. 008";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MNFG";"NRH";
"NRH";"Regensburg Hbf";"25.02.2016";"79375";"21:29:12";"21:29:02";"-00:00:10";"";"";"";"Gl. 008";"Gl. 008";"Plan (bis 00:00:59)";"";"MNFG";"NRH";
"NRH";"Regensburg Hbf";"24.02.2016";"79375";"21:29:12";"21:30:47";"00:01:35";"";"";"";"Gl. 008";"Gl. 008";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MNFG";"NRH";
"NRH";"Regensburg Hbf";"22.02.2016";"79375";"21:29:12";"21:30:30";"00:01:18";"";"";"";"Gl. 008";"Gl. 008";"Leicht verspätet (00:01:00 bis 00:05:59)";"";"MNFG";"NRH";
"NRH";"Regensburg Hbf";"27.02.2016";"79376";"";"";"";"05:57:12";"05:57:22";"00:00:10";"Gl. 008";"Gl. 008";"";"Plan (-00:00:59 bis 00:00:59)";"NRH";"MNFG";
"MIH";"Ingolstadt Hbf";"27.02.2016";"79376";"06:54:06";"06:54:20";"00:00:14";"07:07:36";"07:06:25";"-00:01:11";"Gl. 005";"Gl. 005";"Plan (bis 00:00:59)";"Abfahrt vor Plan";"NRH";"MNFG";
"MDT";"Donauwörth";"27.02.2016";"79376";"07:47:00";"07:45:56";"-00:01:04";"07:50:18";"07:50:53";"00:00:35";"Gl. 040";"Gl. 040";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"MNFG";
"MGZB";"Günzburg";"27.02.2016";"79376";"08:23:54";"08:23:07";"-00:00:47";"08:25:42";"08:25:26";"-00:00:16";"Gl. 003";"Gl. 003";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"TU";
"MNM";"Neu-Ulm";"27.02.2016";"79376";"08:42:24";"08:40:29";"-00:01:55";"08:43:12";"08:43:20";"00:00:08";"Gl. 001";"Gl. 001";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"TU";
"NRH";"Regensburg Hbf";"28.02.2016";"79376";"";"";"";"05:57:12";"05:57:47";"00:00:35";"Gl. 008";"Gl. 008";"";"Plan (-00:00:59 bis 00:00:59)";"NRH";"MNFG";
"MIH";"Ingolstadt Hbf";"28.02.2016";"79376";"06:54:06";"06:54:36";"00:00:30";"07:07:36";"07:07:57";"00:00:21";"Gl. 005";"Gl. 005";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"MNFG";
"MDT";"Donauwörth";"28.02.2016";"79376";"07:47:00";"07:45:37";"-00:01:23";"07:50:18";"07:50:56";"00:00:38";"Gl. 040";"Gl. 040";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"MNFG";
"MGZB";"Günzburg";"28.02.2016";"79376";"08:23:54";"08:23:49";"-00:00:05";"08:25:42";"08:25:50";"00:00:08";"Gl. 003";"Gl. 003";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"TU";
"MNM";"Neu-Ulm";"28.02.2016";"79376";"08:42:24";"08:41:33";"-00:00:51";"08:43:12";"08:43:27";"00:00:15";"Gl. 001";"Gl. 001";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"NRH";"TU";
"TU";"Ulm Hbf";"28.02.2016";"79376";"08:45:30";"08:45:59";"00:00:29";"";"";"";"Gl. 027";"Gl. 027";"Plan (bis 00:00:59)";"";"NRH";"TU";
"TU";"Ulm Hbf";"27.02.2016";"79376";"08:45:30";"08:45:56";"00:00:26";"";"";"";"Gl. 027";"Gl. 027";"Plan (bis 00:00:59)";"";"NRH";"TU";
"TU";"Ulm Hbf";"27.02.2016";"79377";"";"";"";"09:18:30";"09:18:47";"00:00:17";"Gl. 027";"Gl. 027";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"MEGM";
"MNM";"Neu-Ulm";"27.02.2016";"79377";"09:21:12";"09:21:35";"00:00:23";"09:21:54";"09:22:20";"00:00:26";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"MEGM";
"MGZB";"Günzburg";"27.02.2016";"79377";"09:34:48";"09:33:24";"-00:01:24";"09:36:18";"09:36:15";"-00:00:03";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"MEGM";
"MDT";"Donauwörth";"27.02.2016";"79377";"10:13:00";"10:12:39";"-00:00:21";"10:14:24";"10:14:43";"00:00:19";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
"MIH";"Ingolstadt Hbf";"27.02.2016";"79377";"10:51:00";"10:49:18";"-00:01:42";"11:05:12";"11:05:19";"00:00:07";"Gl. 005";"Gl. 005";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
"NRH";"Regensburg Hbf";"27.02.2016";"79377";"11:55:00";"11:54:20";"-00:00:40";"12:14:24";"12:14:46";"00:00:22";"Gl. 009";"Gl. 009";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
"NOT";"Obertraubling";"27.02.2016";"79377";"12:20:48";"12:21:18";"00:00:30";"12:21:18";"12:22:00";"00:00:42";"Gl. 001";"Gl. 001";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
"TU";"Ulm Hbf";"28.02.2016";"79377";"";"";"";"09:18:30";"09:19:12";"00:00:42";"Gl. 027";"Gl. 027";"";"Plan (-00:00:59 bis 00:00:59)";"TU";"MEGM";
"MNM";"Neu-Ulm";"28.02.2016";"79377";"09:21:12";"09:21:54";"00:00:42";"09:21:54";"09:22:26";"00:00:32";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"MEGM";
"MGZB";"Günzburg";"28.02.2016";"79377";"09:34:48";"09:32:22";"-00:02:26";"09:36:18";"09:36:32";"00:00:14";"Gl. 002";"Gl. 002";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"TU";"MEGM";
"MDT";"Donauwörth";"28.02.2016";"79377";"10:13:00";"10:12:13";"-00:00:47";"10:14:24";"10:14:33";"00:00:09";"Gl. 070";"Gl. 070";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
"MIH";"Ingolstadt Hbf";"28.02.2016";"79377";"10:51:00";"10:50:18";"-00:00:42";"11:05:12";"11:05:17";"00:00:05";"Gl. 005";"Gl. 005";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
"NRH";"Regensburg Hbf";"28.02.2016";"79377";"11:55:00";"11:53:43";"-00:01:17";"12:14:24";"12:14:26";"00:00:02";"Gl. 009";"Gl. 009";"Plan (bis 00:00:59)";"Plan (-00:00:59 bis 00:00:59)";"MNFG";"MEGM";
