"id_messpunkt";"int4";"date_part";"date_part"
34143;1;1;0
34143;1;1;0
36377;0;1;0
36377;0;1;0
46357;1;1;0
46357;1;1;0
36377;0;1;0
36377;0;1;0
46357;0;1;4
46357;0;1;4
36377;1;1;5
36377;1;1;5
36377;2;1;5
36377;1;1;5
34143;1;1;5
34143;2;1;5
46357;0;1;5
46357;0;1;5
46357;3;1;5
46357;3;1;5
36377;0;1;5
36377;0;1;5
46357;17;1;5
46357;17;1;5
36377;1;1;5
36377;1;1;5
46357;1;1;6
46357;1;1;6
34143;2;1;6
34143;2;1;6
34143;1;1;6
34143;1;1;6
46357;0;1;6
46357;0;1;6
46357;3;1;6
46357;1;1;6
34143;3;1;6
34143;3;1;6
34143;1;1;6
34143;1;1;6
46357;1;1;6
46357;1;1;6
36377;1;1;6
36377;1;1;6
36377;2;1;6
36377;1;1;6
46357;1;1;6
46357;1;1;6
34143;3;1;6
34143;3;1;6
34143;1;1;6
34143;1;1;6
46357;0;1;6
46357;0;1;6
46357;4;1;6
46357;5;1;6
34143;2;1;6
34143;2;1;6
36377;3;1;6
36377;3;1;6
34143;1;1;6
34143;1;1;6
46357;0;1;6
46357;0;1;6
36377;3;1;6
36377;3;1;6
46357;5;1;7
46357;6;1;7
34143;3;1;7
34143;3;1;7
34143;2;1;7
34143;1;1;7
46357;1;1;7
46357;1;1;7
46357;6;1;7
46357;6;1;7
34143;3;1;7
34143;3;1;7
34143;1;1;7
34143;1;1;7
46357;2;1;7
46357;2;1;7
36377;3;1;7
36377;4;1;7
36377;4;1;7
36377;4;1;7
46357;7;1;7
46357;6;1;7
34143;2;1;7
34143;2;1;7
34143;1;1;7
34143;1;1;7
46357;1;1;7
46357;1;1;7
46357;7;1;7
46357;6;1;7
34143;2;1;7
34143;2;1;7
36377;0;1;7
36377;0;1;7
34143;1;1;7
34143;0;1;7
46357;1;1;7
46357;1;1;7
36377;0;1;7
36377;0;1;7
46357;4;1;8
46357;4;1;8
34143;4;1;8
34143;4;1;8
34143;2;1;8
34143;2;1;8
46357;-1;1;8
46357;0;1;8
46357;3;1;8
46357;5;1;8
34143;1;1;8
34143;0;1;8
46357;1;1;8
46357;1;1;8
36377;1;1;8
36377;1;1;8
36377;2;1;8
36377;1;1;8
46357;4;1;8
46357;2;1;8
34143;2;1;8
34143;2;1;8
46357;0;1;8
46357;0;1;8
46357;1;1;8
46357;1;1;8
36377;1;1;8
36377;1;1;8
34143;1;1;8
34143;1;1;8
46357;1;1;8
46357;1;1;8
36377;0;1;8
36377;0;1;8
46357;3;1;9
46357;3;1;9
34143;2;1;9
34143;2;1;9
46357;2;1;9
46357;3;1;9
34143;0;1;9
34143;1;1;9
46357;1;1;9
36377;1;1;9
36377;2;1;9
36377;2;1;9
36377;2;1;9
46357;3;1;9
46357;3;1;9
34143;2;1;9
34143;2;1;9
46357;2;1;9
46357;2;1;9
46357;2;1;9
46357;2;1;9
36377;0;1;9
36377;0;1;9
34143;1;1;9
34143;1;1;9
36377;1;1;9
36377;1;1;9
46357;1;1;10
46357;1;1;10
34143;2;1;10
34143;2;1;10
46357;1;1;10
46357;1;1;10
46357;2;1;10
46357;4;1;10
34143;1;1;10
34143;0;1;10
46357;1;1;10
46357;1;1;10
36377;3;1;10
36377;3;1;10
36377;3;1;10
36377;3;1;10
46357;4;1;10
46357;6;1;10
34143;1;1;10
34143;2;1;10
46357;0;1;10
46357;0;1;10
46357;1;1;10
46357;1;1;10
36377;2;1;10
36377;2;1;10
34143;1;1;10
34143;1;1;10
46357;1;1;10
46357;1;1;10
36377;2;1;10
36377;2;1;10
46357;1;1;11
46357;1;1;11
34143;3;1;11
34143;3;1;11
46357;2;1;11
46357;1;1;11
46357;3;1;11
46357;3;1;11
34143;1;1;11
34143;1;1;11
46357;0;1;11
36377;1;1;11
36377;1;1;11
36377;2;1;11
36377;2;1;11
46357;2;1;11
46357;2;1;11
34143;2;1;11
34143;2;1;11
46357;1;1;11
46357;1;1;11
46357;6;1;11
46357;6;1;11
34143;2;1;11
34143;2;1;11
36377;0;1;11
36377;0;1;11
34143;0;1;11
34143;1;1;11
46357;1;1;11
46357;1;1;11
36377;1;1;11
36377;0;1;11
46357;4;1;12
46357;4;1;12
34143;2;1;12
34143;3;1;12
34143;1;1;12
34143;1;1;12
46357;0;1;12
46357;0;1;12
46357;3;1;12
46357;3;1;12
34143;0;1;12
34143;0;1;12
34143;0;1;12
34143;1;1;12
46357;-1;1;12
46357;0;1;12
36377;2;1;12
36377;3;1;12
36377;3;1;12
36377;3;1;12
46357;2;1;12
46357;2;1;12
34143;2;1;12
34143;2;1;12
34143;1;1;12
34143;1;1;12
46357;2;1;12
46357;2;1;12
46357;2;1;12
46357;3;1;12
34143;3;1;12
34143;3;1;12
36377;2;1;12
36377;2;1;12
34143;2;1;12
34143;2;1;12
46357;1;1;12
46357;1;1;12
36377;2;1;12
36377;1;1;12
46357;5;1;13
46357;5;1;13
34143;2;1;13
34143;2;1;13
34143;1;1;13
34143;1;1;13
46357;1;1;13
46357;3;1;13
46357;6;1;13
46357;5;1;13
34143;2;1;13
34143;2;1;13
34143;1;1;13
34143;0;1;13
46357;0;1;13
46357;0;1;13
36377;1;1;13
36377;1;1;13
36377;2;1;13
36377;1;1;13
34143;2;1;13
34143;2;1;13
34143;1;1;13
34143;0;1;13
46357;1;1;13
46357;1;1;13
46357;2;1;13
46357;2;1;13
34143;2;1;13
34143;2;1;13
36377;1;1;13
36377;0;1;13
34143;0;1;13
34143;0;1;13
46357;2;1;13
46357;2;1;13
36377;1;1;13
36377;1;1;13
46357;6;1;14
46357;6;1;14
34143;2;1;14
34143;2;1;14
34143;1;1;14
34143;1;1;14
46357;1;1;14
46357;1;1;14
46357;4;1;14
46357;4;1;14
34143;1;1;14
34143;1;1;14
46357;1;1;14
46357;1;1;14
36377;0;1;14
36377;0;1;14
36377;1;1;14
36377;0;1;14
46357;5;1;14
46357;5;1;14
34143;3;1;14
34143;3;1;14
46357;1;1;14
46357;2;1;14
46357;3;1;14
46357;3;1;14
36377;1;1;14
36377;1;1;14
34143;1;1;14
34143;1;1;14
46357;0;1;14
46357;0;1;14
36377;2;1;14
36377;2;1;14
46357;5;1;15
46357;5;1;15
34143;1;1;15
34143;1;1;15
46357;0;1;15
46357;6;1;15
46357;6;1;15
34143;0;1;15
34143;0;1;15
46357;2;1;15
46357;2;1;15
36377;1;1;15
36377;2;1;15
36377;3;1;15
36377;3;1;15
46357;4;1;15
46357;4;1;15
34143;0;1;15
34143;0;1;15
46357;1;1;15
46357;1;1;15
46357;4;1;15
46357;4;1;15
34143;2;1;15
34143;2;1;15
36377;2;1;15
36377;2;1;15
34143;1;1;15
34143;1;1;15
46357;2;1;15
46357;3;1;15
36377;1;1;15
36377;1;1;15
46357;4;1;16
46357;4;1;16
34143;2;1;16
34143;2;1;16
34143;1;1;16
34143;1;1;16
46357;1;1;16
46357;1;1;16
46357;6;1;16
46357;6;1;16
34143;2;1;16
34143;2;1;16
34143;1;1;16
34143;1;1;16
46357;-2;1;16
46357;0;1;16
36377;2;1;16
36377;2;1;16
36377;2;1;16
36377;2;1;16
46357;4;1;16
46357;5;1;16
34143;2;1;16
34143;2;1;16
34143;1;1;16
34143;1;1;16
46357;1;1;16
