Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
4603;RE60FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;FFS A;Frankfurt (Main) Süd Abstellbahnhof;8:41:00;4;674
5475;;06.03.2016;51;Antrag EVU;MKP;Kempten (Allgäu) Hbf;8:41:00;7;3283
22857;RB8A+;06.03.2016;50;Haltezeitüberschreitung;TBWA;Bad Waldsee;8:42:00;2;22857
59470;RE12-;06.03.2016;60;Umlauf-Einsatzplanung;MMW;Mittenwald;8:42:00;6;59470
27147;;06.03.2016;57;Keine Meldung durch EVU;MTLG;Tüßling;8:44:00;2;27147
57762;RB33M+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MHMG;Heimertingen;8:44:00;5;57759
3546;SF3BY+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);8:46:00;3;
3549;RE55FR+;06.03.2016;60;Umlauf-Einsatzplanung;NIR;Irrenlohe;8:47:00;2;3549
59145;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MBAE;Baar-Ebenhausen                  (Plang);8:47:00;5;521
6737;S7BY+;06.03.2016;50;Haltezeitüberschreitung;MHRK;Höllriegelskreuth;8:47:00;2;6737
20872;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NHO;Hof Hbf;8:48:00;3;84403
4223;IRE6+;06.03.2016;59;Sonstige verkehrliche Gründe EVU;TG;Geislingen (Steige);8:48:00;2;4221
4603;RE60FR-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;FO;Offenbach (Main) Hbf;8:48:00;2;4506
59429;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKLA;Klais;8:50:00;5;
6739;S7BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MIC;Icking;8:53:00;3;6730
57391;;06.03.2016;50;Haltezeitüberschreitung;MIMS;Immenstadt;8:54:00;3;57391
57643;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHMG;Heimertingen;8:55:00;5;57762
84184;AG1-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNT;Neumarkt (Oberpf);8:55:00;2;
57505;RE36-;06.03.2016;94;Anschluss;MBIH;Biessenhofen;9:00:00;2;
57504;RE36+;06.03.2016;94;Anschluss;MKFB;Kaufbeuren;9:02:00;3;
22806;;06.03.2016;94;Anschluss;MM;Memmingen;9:03:00;3;57643
5472;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOYM;Oy-Mittelberg;9:05:00;4;5475
57812;;06.03.2016;64;Triebfahrzeuge;MBOB;Bobingen;9:05:00;4;57813
3981;RE34BY-;06.03.2016;57;Keine Meldung durch EVU;MRTA;Röthenbach (Allgäu);9:07:00;2;3981
22710;RB7-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TF  R;Friedrichshafen Gbf;9:09:00;2;3042
4232;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLI;Lindau Hbf;9:09:00;3;
57761;RB33M-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSED;Senden;9:10:00;2;57762
57813;;06.03.2016;64;Triebfahrzeuge;MBOB;Bobingen;9:10:00;13;57813
4647;RE601-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;FFOR;Forsthaus                    (Frankfurt);9:11:00;2;374
57812;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MBOB;Bobingen;9:11:00;5;57813
27150;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MAT;Altötting;9:12:00;2;
57813;;06.03.2016;64;Triebfahrzeuge;MBOB;Bobingen;9:12:00;2;57813
6843;S8BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSH;Seefeld-Hechendorf;9:12:00;2;6830
4012;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MAKN;München Kanal;9:13:00;3;
84132;ALXS+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MIMS;Immenstadt;9:14:00;3;196
22518;RE/RB5+;06.03.2016;94;Anschluss;TU;Ulm Hbf;9:15:00;2;511
4221;IRE6+;06.03.2016;64;Triebfahrzeuge;TMO;Mochenwangen;9:15:00;6;4221
4647;RE601-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;FFS;Frankfurt (Main) Süd;9:16:00;2;51165
58786;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNA;Neustadt (Aisch) Bahnhof;9:17:00;2;
59302;RE41-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NTG;Trebgast;9:17:00;2;84545
84545;;06.03.2016;57;Keine Meldung durch EVU;NTG;Trebgast;9:17:00;2;84545
4221;IRE6+;06.03.2016;64;Triebfahrzeuge;TNB;Niederbiegen;9:18:00;1;4221
57666;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLNW;Langenwang (Schwab);9:19:00;5;
79459;MER2+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;XAKN;Kufstein;9:19:00;3;
59470;RE12-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOU;Oberau;9:21:00;4;
84543;;06.03.2016;50;Haltezeitüberschreitung;NBY;Bayreuth Hbf;9:22:00;3;84543
4599;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;9:23:00;2;
4647;RE601-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;FO;Offenbach (Main) Hbf;9:23:00;2;772
57762;RB33M+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;TU;Ulm Hbf;9:23:00;2;3883
84134;ALXS+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MANH;München-Neuhausen;9:23:00;2;
84551;;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;9:23:00;2;84551
84542;;06.03.2016;94;Anschluss;NKL;Kirchenlaibach;9:24:00;3;3426
58600;RB531-;06.03.2016;93;Wende;NNKS;Neunkirchen a Sand;9:26:00;3;
6840;S8BY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;9:26:00;2;6932
79020;MER1-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFL;Freilassing;9:26:00;2;
39272;;06.03.2016;95;Flügeln;NBA;Bamberg;9:27:00;2;4844
29352;RE42+;06.03.2016;31;Bauarbeiten;UR  G;Rudolstadt (Thür) Gbf;9:29:00;3;
4683;;06.03.2016;51;Antrag EVU;NHN;Höflein;9:29:00;2;4683
63053;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MMF;Mühldorf (Oberbay);9:30:00;3;27150
84152;ALXSF+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MATS;Altstädten (Allgäu);9:30:00;4;
87031;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MMDN;München Donnersbergerbrücke;9:31:00;4;
27319;;06.03.2016;50;Haltezeitüberschreitung;MMF;Mühldorf (Oberbay);9:33:00;2;27319
5413;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHDF;Hechendorf;9:34:00;2;
84559;;06.03.2016;57;Keine Meldung durch EVU;NRC;Bad Rodach;9:34:00;2;84559
57812;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MKFG;Kaufering;9:35:00;3;3482
57815;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKFG;Kaufering;9:35:00;2;57812
29352;RE42+;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;9:36:00;3;
59145;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MAOZ;München-Obermenzing Abzw;9:37:00;3;
84449;;06.03.2016;59;Sonstige verkehrliche Gründe EVU;NFO;Forchheim (Oberfr);9:39:00;2;84449
27109;;06.03.2016;93;Wende;MMF;Mühldorf (Oberbay);9:40:00;3;27108
4011;;06.03.2016;32;Unregelmäßigkeiten bei Bauarbeiten;MKIG;Kinding (Altmühltal);9:40:00;2;
79461;MER2+;06.03.2016;57;Keine Meldung durch EVU;MRO;Rosenheim;9:40:00;2;79461
57405;RE35BY-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MANH;München-Neuhausen;9:41:00;2;
4225;IRE6+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TS;Stuttgart Hbf;9:42:00;3;
80678;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NGM S;Gemünden (Main) Saalebrücke;9:42:00;3;
39600;S2FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;9:43:00;2;
58788;;06.03.2016;57;Keine Meldung durch EVU;NJB;NJB;9:44:00;2;58788
5411;RE12+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MMW;Mittenwald;9:46:00;8;
83916;WB1-;06.03.2016;50;Haltezeitüberschreitung;NDG;Deggendorf Hbf;9:47:00;2;83916
57340;RE32BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MBU;Buchloe;9:48:00;2;
63053;;06.03.2016;57;Keine Meldung durch EVU;MTLG;Tüßling;9:51:00;2;63053
4875;RE12+;06.03.2016;84;Behörden;MWH;Weilheim (Oberbay);9:52:00;3;
4062;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NWLD;Wallersdorf;9:53:00;5;
27315;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NPA G;Passau Gbf;9:54:00;5;1863
4873;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKLA;Klais;9:54:00;6;
59560;;06.03.2016;57;Keine Meldung durch EVU;MBKG;Bad Kohlgrub;9:57:00;2;59560
6841;S8BY+;06.03.2016;84;Behörden;MJK;München-Johanneskirchen;9:57:00;2;
57763;RB33M-;06.03.2016;54;Verkehrliche Zugvorbereitung;TU;Ulm Hbf;9:58:00;2;57763
6242;S2BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLEU;München Leuchtenbergring;9:58:00;2;
87011;;06.03.2016;95;Flügeln;MHO;Holzkirchen;10:00:00;2;87031
84137;ALXS-;06.03.2016;62;Reisezugwagen;MLI;Lindau Hbf;10:02:00;4;84137
6245;S2BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MAOZ;München-Obermenzing Abzw;10:03:00;2;
59513;RE12+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MH;München Hbf;10:05:00;6;
84538;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NC;Coburg;10:05:00;3;84559
86517;BRB4+;06.03.2016;58;Verkehrliches Personal EVU;MKIS;Kissing;10:05:00;3;57105
94480;;06.03.2016;57;Keine Meldung durch EVU;NRH B;Regensburg Bbf;10:05:00;2;94480
3384;RE37-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSF;Sonthofen;10:06:00;5;2084
4223;IRE6+;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;TMO;Mochenwangen;10:07:00;3;
57505;RE36-;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MANH;München-Neuhausen;10:07:00;4;
5413;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;10:08:00;5;
57105;;06.03.2016;58;Verkehrliches Personal EVU;MMR;Mering;10:08:00;12;57105
86517;BRB4+;06.03.2016;58;Verkehrliches Personal EVU;MKIS;Kissing;10:08:00;2;57105
5512;RB39A+;06.03.2016;95;Flügeln;MGP;Garmisch-Partenkirchen;10:09:00;5;
58212;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NF  G;Fürth (Bay) Gbf;10:11:00;2;
4206;;06.03.2016;93;Wende;MLI;Lindau Hbf;10:12:00;6;4221
6842;S8BY-;06.03.2016;84;Behörden;MIS;Ismaning;10:12:00;13;
6843;S8BY+;06.03.2016;84;Behörden;MDFG;München-Daglfing;10:14:00;4;
6142;S1BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP;München Ost Pbf;10:18:00;4;
87011;;06.03.2016;95;Flügeln;MSFL;Schaftlach;10:19:00;2;
87021;;06.03.2016;95;Flügeln;MSFL;Schaftlach;10:19:00;4;87011
57766;RB33M+;06.03.2016;94;Anschluss;MM;Memmingen;10:20:00;3;191
6244;S2BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP;München Ost Pbf;10:20:00;2;6142
84137;ALXS-;06.03.2016;62;Reisezugwagen;MHGZ;Hergatz;10:20:00;2;84137
8674;SF8BY+;06.03.2016;84;Behörden;MOP;München Ost Pbf;10:20:00;3;6142
22711;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MNHN;Nonnenhorn;10:21:00;5;
6842;S8BY-;06.03.2016;84;Behörden;MJK;München-Johanneskirchen;10:21:00;3;
3425;RB44+;06.03.2016;95;Flügeln;NPZ;Pegnitz;10:24:00;2;3405
79470;MER2-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MARS;Rosenheim Süd;10:24:00;2;79020
27614;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NRA;Radldorf (Niederbay);10:26:00;2;94489
86864;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHO;Holzkirchen;10:26:00;2;87031
57667;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MIMS;Immenstadt;10:27:00;5;2012
84157;ALXSF-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOF;Oberstdorf;10:27:00;3;3384
28624;RB6A-;06.03.2016;54;Verkehrliche Zugvorbereitung;TFH;Friedrichshafen Hafen;10:28:00;2;28624
6843;S8BY+;06.03.2016;84;Behörden;MIS;Ismaning;10:28:00;2;
86914;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHO;Holzkirchen;10:28:00;2;86864
23384;RE782+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen Betriebsführung);NSUZ;Sulzbach (Main);10:30:00;1;
57106;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MAOB;Augsburg-Oberhausen;10:30:00;2;
4985;RE42-;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;10:31:00;3;
57306;;06.03.2016;95;Flügeln;MA;Augsburg Hbf;10:31:00;3;
3286;SF7BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MA;Augsburg Hbf;10:32:00;2;
4223;IRE6+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TF  R;Friedrichshafen Gbf;10:32:00;2;
5542;RB39A+;06.03.2016;95;Flügeln;MGP;Garmisch-Partenkirchen;10:32:00;4;4875
6747;S7BY+;06.03.2016;50;Haltezeitüberschreitung;MGOI;Großhesselohe Isartalbahnhof;10:32:00;3;6747
58109;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MTL;Treuchtlingen;10:33:00;3;
58112;;06.03.2016;50;Haltezeitüberschreitung;MTL;Treuchtlingen;10:33:00;8;58112
5415;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHDF;Hechendorf;10:34:00;3;5408
86522;BRB4-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGE;Geltendorf;10:34:00;4;86517
86866;;06.03.2016;61;Zugbildung durch EVU;MBZ;Bayrischzell;10:34:00;2;86866
22523;RE/RB5-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TA;Aalen;10:35:00;2;22518
57763;RB33M-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MASI;Altenstadt (Iller);10:35:00;2;57766
3082;IRE1-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNHC;Neuenreuth (b Creußen);10:36:00;2;
3284;SF7BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLI;Lindau Hbf;10:36:00;2;
57307;;06.03.2016;94;Anschluss;MTL;Treuchtlingen;10:37:00;3;59148
3010;RE53-;06.03.2016;31;Bauarbeiten;NGAH;Großalbershof;10:38:00;3;
4012;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;NALB;Allersberg (Rothsee);10:39:00;2;
6246;S2BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLEU;München Leuchtenbergring;10:39:00;2;
6844;S8BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP;München Ost Pbf;10:39:00;2;
57182;;06.03.2016;93;Wende;MH;München Hbf;10:41:00;5;57105
58025;;06.03.2016;64;Triebfahrzeuge;NS;Schweinfurt Hbf;10:43:00;7;58025
3010;RE53-;06.03.2016;60;Umlauf-Einsatzplanung;NNS;Neukirchen (b Sulzbach-Rosenberg);10:45:00;2;3010
3759;RE41+;06.03.2016;57;Keine Meldung durch EVU;NTG;Trebgast;10:46:00;3;3759
3550;SF3BY+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);10:48:00;3;
39610;S2FR-;06.03.2016;93;Wende;NAD;Altdorf (b Nürnberg);10:48:00;2;39605
4647;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NARN;Arnstein (Unterfr);10:49:00;2;
5282;;06.03.2016;95;Flügeln;NPZ;Pegnitz;10:49:00;2;3082
57763;RB33M-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MM;Memmingen;10:50:00;2;
58790;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NF;Fürth (Bay) Hbf;10:50:00;3;1208
6453;S4BY+;06.03.2016;50;Haltezeitüberschreitung;MGE;Geltendorf;10:52:00;2;6453
3884;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLNW;Langenwang (Schwab);10:53:00;3;
20875;;06.03.2016;57;Keine Meldung durch EVU;NMR;Marktredwitz;10:54:00;1;20875
3883;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MIMS;Immenstadt;10:54:00;2;84157
84106;ALXN+;06.03.2016;85;Fremdeinwirkung;MFE;München-Feldmoching;10:56:00;3;
79720;;06.03.2016;94;Anschluss;NRH;Regensburg Hbf;10:58:00;2;84190
27044;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP R;München Ost Riedenburger Straße;11:00:00;2;27037
6951;S1ABY-;06.03.2016;85;Fremdeinwirkung;MFE;München-Feldmoching;11:00:00;2;
84550;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NBY;Bayreuth Hbf;11:00:00;2;3465
84555;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NBY;Bayreuth Hbf;11:00:00;2;
3804;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NBNE;Bad Neustadt (Saale);11:01:00;4;3807
5410;RE12-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGP;Garmisch-Partenkirchen;11:01:00;2;
39609;S2FR+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NFT;Feucht;11:02:00;2;
57028;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MGHF;Gersthofen;11:02:00;2;
58024;;06.03.2016;54;Verkehrliche Zugvorbereitung;NWH;Würzburg Hbf;11:03:00;2;58024
58514;RB53FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NNP;Neuhaus (Pegnitz);11:03:00;2;5282
86861;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSCS;Schliersee;11:03:00;2;
84104;ALXN+;06.03.2016;57;Keine Meldung durch EVU;NNAB;Nabburg;11:04:00;2;84104
3780;RB44-;06.03.2016;50;Haltezeitüberschreitung;NBY;Bayreuth Hbf;11:05:00;2;3780
79303;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MFL;Freilassing;11:05:00;2;
3883;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSF;Sonthofen;11:06:00;2;3884
6951;S1ABY-;06.03.2016;85;Fremdeinwirkung;MFE;München-Feldmoching;11:07:00;6;
57021;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MA;Augsburg Hbf;11:08:00;2;50595
80743;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NBNE;Bad Neustadt (Saale);11:08:00;2;3807
86522;BRB4-;06.03.2016;50;Haltezeitüberschreitung;MAHA;Augsburg Haunstetterstraße;11:08:00;2;86522
8674;SF8BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSH;Seefeld-Hechendorf;11:10:00;2;
3984;RE34BY+;06.03.2016;57;Keine Meldung durch EVU;MIMS;Immenstadt;11:12:00;2;3984
3984;RE34BY+;06.03.2016;50;Haltezeitüberschreitung;MIMS;Immenstadt;11:12:00;2;3984
5415;RE12+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKBN;Kaltenbrunn (Oberbay);11:12:00;2;
4015;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;11:13:00;3;1
6855;S8BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MSH;Seefeld-Hechendorf;11:13:00;3;8674
39608;S2FR-;06.03.2016;54;Verkehrliche Zugvorbereitung;NN;Nürnberg Hbf;11:14:00;13;39608
6955;S1ABY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;11:14:00;4;
356;ALXNP-;06.03.2016;85;Fremdeinwirkung;MFE;München-Feldmoching;11:15:00;9;
6951;S1ABY-;06.03.2016;85;Fremdeinwirkung;MMCH;München-Moosach;11:15:00;2;
6944;S1ABY+;06.03.2016;85;Fremdeinwirkung;MMCH;München-Moosach;11:16:00;18;
84553;;06.03.2016;50;Haltezeitüberschreitung;NMR;Marktredwitz;11:16:00;2;84553
6146;S1BY-;06.03.2016;85;Fremdeinwirkung;MMCH;München-Moosach;11:18:00;3;6944
79723;;06.03.2016;50;Haltezeitüberschreitung;NMR;Marktredwitz;11:18:00;3;79723
80743;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NMUE;Münnerstadt;11:18:00;2;3807
57668;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLNW;Langenwang (Schwab);11:19:00;3;
3555;RE55FR+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);11:20:00;2;3015
4015;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;NRWD;Nürnberg Reichswald;11:20:00;2;
63054;;06.03.2016;41;Vorheriger EIU;MFL;Freilassing;11:20:00;2;
19908;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NDB;Dombühl;11:24:00;2;
59514;RE12-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MWI;Wilzhofen;11:24:00;3;
6155;S1BY+;06.03.2016;95;Flügeln;MNF;Neufahrn (b Freising);11:24:00;3;6955
84193;AG1+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NSF;Seubersdorf;11:24:00;2;
79024;MER1-;06.03.2016;50;Haltezeitüberschreitung;MFL;Freilassing;11:26:00;2;79024
80712;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NOBW;Oberwerrn;11:26:00;5;3807
84557;;06.03.2016;57;Keine Meldung durch EVU;NSOK;Stockau;11:28:00;2;84557
356;ALXNP-;06.03.2016;85;Fremdeinwirkung;MAKN;München Kanal;11:29:00;9;
80683;;06.03.2016;95;Flügeln;NEBH;Ebenhausen (Unterfr);11:30:00;2;80743
84154;ALXSF+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MATS;Altstädten (Allgäu);11:30:00;2;
22510;RB5+;06.03.2016;54;Verkehrliche Zugvorbereitung;TU;Ulm Hbf;11:31:00;2;22510
4066;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MLOI;Loiching;11:31:00;2;4067
29354;RE42+;06.03.2016;31;Bauarbeiten;UUS;Uhlstädt;11:32:00;3;
3012;RE53-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NVK;Vilseck;11:32:00;3;3015
79422;MER1-;06.03.2016;50;Haltezeitüberschreitung;MRO;Rosenheim;11:32:00;2;79422
58113;;06.03.2016;64;Triebfahrzeuge;NWH;Würzburg Hbf;11:33:00;52;58113
86868;;06.03.2016;57;Keine Meldung durch EVU;MBZ;Bayrischzell;11:34:00;2;86868
4228;IRE6-;06.03.2016;62;Reisezugwagen;TF;Friedrichshafen Stadt;11:35:00;3;4228
59614;RB121B-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MTZ;Tutzing;11:35:00;3;
80732;;06.03.2016;95;Flügeln;NEBH;Ebenhausen (Unterfr);11:35:00;2;80712
5481;;06.03.2016;94;Anschluss;MKP;Kempten (Allgäu) Hbf;11:36:00;2;3884
29354;RE42+;06.03.2016;31;Bauarbeiten;UZE;Zeutsch;11:37:00;2;
4018;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MPF;Pfaffenhofen (Ilm);11:37:00;2;1588
39277;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;11:38:00;3;
22715;RB7+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TF;Friedrichshafen Stadt;11:39:00;6;
58792;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;11:41:00;2;
59095;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;11:41:00;3;2068
3485;SF3BY-;06.03.2016;57;Keine Meldung durch EVU;MKP;Kempten (Allgäu) Hbf;11:42:00;2;3485
57181;RE77-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGZB;Günzburg;11:42:00;2;
6946;S1ABY+;06.03.2016;95;Flügeln;MNF;Neufahrn (b Freising);11:42:00;4;6146
4015;;06.03.2016;25;Anlagen Leit- und Sicherungstechnik;MKIG;Kinding (Altmühltal);11:43:00;2;
58115;;06.03.2016;57;Keine Meldung durch EVU;NWH;Würzburg Hbf;11:43:00;2;58115
4068;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MNF;Neufahrn (b Freising);11:44:00;2;
6551;S6BY+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MLEU;München Leuchtenbergring;11:44:00;4;
3387;RE37+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOF;Oberstdorf;11:46:00;5;84154
3552;SF3BY+;06.03.2016;95;Flügeln;NNS;Neukirchen (b Sulzbach-Rosenberg);11:47:00;4;
57181;RE77-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGZB;Günzburg;11:47:00;3;513
22854;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;TKG;Kißlegg;11:48:00;3;193
57362;RE32BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MBU;Buchloe;11:48:00;2;
3555;RE55FR+;06.03.2016;60;Umlauf-Einsatzplanung;NIR;Irrenlohe;11:49:00;3;3555
27087;;06.03.2016;57;Keine Meldung durch EVU;MTLG;Tüßling;11:51:00;2;27087
57969;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MAMS;Augsburg Morellstraße;11:51:00;3;
27319;;06.03.2016;57;Keine Meldung durch EVU;NPA G;Passau Gbf;11:52:00;2;27319
6959;S1ABY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;11:53:00;3;6946
57021;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MH;München Hbf;11:55:00;2;218
